ProjectTitle;|=*?*=|TimeUnitId;|=*?*=|HoursPutIn;|=*?*=|Classification;|=*?*=|ProjectId;|=*?*=|TimeStamp;|=*?*=|
C# Getting started;|=*?*=|9fc5abce-0af9-4944-85c0-366d465e5d4d;|=*?*=|10;|=*?*=|1;|=*?*=|e6d10b9d-7a2c-4c9a-b55b-390dd851d717;|=*?*=|04/10/2020 12:00:00 AM
Programming in HTML5 with JavaScript and CSS (M20480);|=*?*=|7026bc32-eb3b-476e-a4d3-cb5f5800941d;|=*?*=|21;|=*?*=|3;|=*?*=|199e9652-8025-4a5c-a12f-58b43a8fae54;|=*?*=|08/09/2020 12:00:00 AM
Programming in HTML5 with JavaScript and CSS (M20480);|=*?*=|9d34fa29-f502-4fad-b774-46af6b445a82;|=*?*=|14;|=*?*=|1;|=*?*=|199e9652-8025-4a5c-a12f-58b43a8fae54;|=*?*=|07/09/2020 12:00:00 AM
Microsoft Programming in C# (M20843);|=*?*=|9493ddd7-7188-4eab-9547-820f80fe4db4;|=*?*=|21;|=*?*=|3;|=*?*=|85980512-a049-4d58-944b-bd0891653909;|=*?*=|01/09/2020 12:00:00 AM
Microsoft Programming in C# (M20843);|=*?*=|374d68f9-f129-45bf-91f5-74ca38813133;|=*?*=|14;|=*?*=|1;|=*?*=|85980512-a049-4d58-944b-bd0891653909;|=*?*=|31/08/2020 12:00:00 AM
Microsoft Azure fundamentals (AZ-900);|=*?*=|bec246eb-aa50-4af9-9bc3-f7cd006a6aae;|=*?*=|7;|=*?*=|3;|=*?*=|b4acbdc1-00c1-4bd4-b1d6-12e7a07a2e02;|=*?*=|28/08/2020 12:00:00 AM
Microsoft Azure fundamentals (AZ-900);|=*?*=|c29212f5-58ec-488b-8065-0db8de0a6c8a;|=*?*=|7;|=*?*=|1;|=*?*=|b4acbdc1-00c1-4bd4-b1d6-12e7a07a2e02;|=*?*=|27/08/2020 12:00:00 AM
Microsoft introduction to programming (M10975);|=*?*=|b80cd0a4-74c0-4f64-a92f-958c8529c3dc;|=*?*=|7;|=*?*=|1;|=*?*=|c76356b7-1381-4f6a-a7db-cc2759457443;|=*?*=|14/07/2020 12:00:00 AM
Microsoft introduction to programming (M10975);|=*?*=|423b03df-aff9-4256-9357-84b08f03ceba;|=*?*=|14;|=*?*=|3;|=*?*=|c76356b7-1381-4f6a-a7db-cc2759457443;|=*?*=|13/07/2020 12:00:00 AM
Microsoft Windows 10 (MD-100);|=*?*=|bc3014b2-752e-48f0-b760-d91d187c5a87;|=*?*=|10;|=*?*=|1;|=*?*=|0ec41028-f04d-4df5-a1ab-8dd5d9b16718;|=*?*=|23/06/2020 12:00:00 AM
ITIL4 Foundations;|=*?*=|bd071b5d-6183-4e09-becb-8c99cbbb540f;|=*?*=|28;|=*?*=|3;|=*?*=|52d4fdba-b694-4647-b65d-852e11013ba1;|=*?*=|22/06/2020 12:00:00 AM
Microsoft Windows 10 (MD-100);|=*?*=|9bf17fbc-ebe1-4a7e-a16b-9f827d452fe7;|=*?*=|25;|=*?*=|3;|=*?*=|0ec41028-f04d-4df5-a1ab-8dd5d9b16718;|=*?*=|22/06/2020 12:00:00 AM
Microsoft 365 Fundamentals (MS-900);|=*?*=|36909179-0858-4c76-9ac5-480edc6975da;|=*?*=|7;|=*?*=|3;|=*?*=|6d66f5dd-3d9b-4d58-be28-f3630b1e1b77;|=*?*=|18/06/2020 12:00:00 AM
ITIL4 Foundations;|=*?*=|2519148c-43e8-4781-a300-1084402642de;|=*?*=|20;|=*?*=|3;|=*?*=|52d4fdba-b694-4647-b65d-852e11013ba1;|=*?*=|07/06/2020 12:00:00 AM
Microsoft Office 365 gebruikers training;|=*?*=|edbc2f8a-e57d-42e4-819a-45262810fda6;|=*?*=|7;|=*?*=|1;|=*?*=|64f4f7af-3f35-424b-9e61-64c952ae427a;|=*?*=|13/05/2020 12:00:00 AM
